time,open,high,low,close,Basis,Upper,Lower,OPR EU High,OPR EU Low,OPR US High,OPR US Low,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,MA,Smoothing Line,MA 1,MA 2,MA 3,Top Fractals,Bottom Fractals,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,MOM,MOM,MOM
1993-01-29T14:30:00Z,43.9688,43.96899,43.75,43.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1003200,NaN,NaN,NaN,45.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-01T14:30:00Z,43.96875,44.25,43.96875,44.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,480500,NaN,NaN,NaN,45.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.3119999999999976
1993-02-02T14:30:00Z,44.21875,44.375,44.125,44.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201300,NaN,NaN,NaN,45.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.09375
1993-02-03T14:30:00Z,44.40625,44.84375,44.375,44.8125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,529400,NaN,NaN,NaN,45.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.46875
1993-02-04T14:30:00Z,44.96875,45.09375,44.875,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,531500,NaN,NaN,NaN,45.09375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.1875
1993-02-05T14:30:00Z,44.96875,45.0625,44.71875,44.96875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,492100,NaN,NaN,NaN,45.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,1.0307499999999976,-0.03125
1993-02-08T14:30:00Z,44.96875,45.125,44.90625,44.96875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,596100,NaN,NaN,NaN,45.3125,NaN,NaN,44.61167857142857,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN,0.71875,0
1993-02-09T14:30:00Z,44.8125,44.8125,44.5625,44.65625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122100,NaN,NaN,NaN,45.03125,NaN,NaN,44.714285714285715,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.3125,-0.3125
1993-02-10T14:30:00Z,44.65625,44.75,44.53125,44.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,379600,NaN,44.4375,NaN,45.3125,NaN,NaN,44.78125,NaN,NaN,NaN,NaN,0,1,NaN,NaN,NaN,NaN,NaN,-0.09375,0.0625
1993-02-11T14:30:00Z,44.78125,45.125,44.78125,44.9375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19500,NaN,44.546875,NaN,45.03125,NaN,NaN,44.86607142857143,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN,-0.0625,0.21875
1993-02-12T14:30:00Z,44.875,44.875,44.59375,44.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42500,NaN,44.625,NaN,44.78125,NaN,NaN,44.83482142857143,44.76162142857143,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.6557499999999976,-0.375,-0.34375
1993-02-16T14:30:00Z,44.46875,44.46875,43.40625,43.46875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,374800,NaN,44.265625,NaN,44.875,NaN,NaN,44.61607142857143,44.7625,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-0.78125,-1.5,-1.125
1993-02-17T14:30:00Z,43.46875,43.53125,43.28125,43.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210900,NaN,44.203125,NaN,44.875,NaN,NaN,44.39732142857142,44.699107142857144,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-0.90625,-1.21875,-0.03125
1993-02-18T14:30:00Z,43.9375,43.9375,42.8125,43.40625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,378100,NaN,43.96875,NaN,45.15625,NaN,NaN,44.17410714285713,44.57767857142857,NaN,NaN,NaN,0,1,NaN,NaN,NaN,NaN,-1.40625,-1.3125,-0.03125
1993-02-19T14:30:00Z,43.40625,43.5625,43.34375,43.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34900,NaN,43.96875,NaN,44.90625,NaN,NaN,44.01785714285713,44.40803571428571,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-1.4375,-1.375,0.15625
1993-02-22T14:30:00Z,43.6875,43.78125,43.5625,43.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,513600,NaN,43.96875,NaN,45.09375,NaN,NaN,43.87499999999999,44.216071428571425,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-1.25,-0.875,0.15625
1993-02-23T14:30:00Z,43.84375,43.875,43.46875,43.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,373700,NaN,43.96875,NaN,45.21875,NaN,NaN,43.69642857142856,44.03214285714285,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-1.28125,0.21875,-0.03125
1993-02-24T14:30:00Z,43.71875,44.25,43.71875,44.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26300,NaN,43.96875,NaN,45.1875,NaN,NaN,43.64732142857142,43.88214285714285,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-0.40625,0.8125,0.5625
1993-02-25T14:30:00Z,44.21875,44.375,44.125,44.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44500,NaN,43.84375,NaN,45.03125,NaN,NaN,43.77232142857143,43.801785714285714,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-0.375,0.9375,0.09375
1993-02-26T14:30:00Z,44.4375,44.4375,44.1875,44.40625,44.2734625,45.37525491777849,43.17167008222151,NaN,NaN,NaN,NaN,66200,321040,43.640625,NaN,44.09375,NaN,NaN,43.910714285714285,43.78035714285714,44.2734625,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-0.53125,0.84375,0.0625
1993-03-01T14:30:00Z,44.5625,44.5625,44.21875,44.28125,44.290625,45.381621534137835,43.19962846586216,NaN,NaN,NaN,NaN,66500,274205,43.6875,NaN,44.3125,NaN,NaN,44.035714285714285,43.8125,44.290625,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-0.3125,0.5625,-0.125
1993-03-02T14:30:00Z,44.3125,44.9375,44.25,44.9375,44.325,45.45145738933992,43.198542610660084,NaN,NaN,NaN,NaN,182400,259300,43.875,NaN,44.1875,NaN,NaN,44.232142857142854,43.919642857142854,44.325,NaN,NaN,0,0,59.872580007901995,NaN,NaN,NaN,1.46875,1.25,0.65625
1993-03-03T14:30:00Z,45,45.15625,44.9375,45.125,44.3640625,45.543355687410795,43.18476931258921,NaN,NaN,NaN,NaN,280100,263240,44.25,NaN,44.34375,NaN,NaN,44.433035714285715,44.07678571428572,44.3640625,NaN,NaN,0,0,61.37481875876493,NaN,NaN,NaN,1.6875,0.875,0.1875
