time,Date,Close,MM_Daily_20_exp,MoM_Daily_10_exp,RSI_Daily_21_exp,MM_Weekly_20_exp,MoM_Weekly_10_exp,RSI_Weekly_21_exp,MM_Monthly_20_exp,MoM_Monthly_10_exp,RSI_Monthly_21_exp
1993-01-29T14:30:00Z,1993-1-29,43.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-01T14:30:00Z,1993-2-01,44.250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-02T14:30:00Z,1993-2-02,44.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-03T14:30:00Z,1993-2-03,44.812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-04T14:30:00Z,1993-2-04,45.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-05T14:30:00Z,1993-2-05,44.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-08T14:30:00Z,1993-2-08,44.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-09T14:30:00Z,1993-2-09,44.656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-10T14:30:00Z,1993-2-10,44.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-11T14:30:00Z,1993-2-11,44.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-12T14:30:00Z,1993-2-12,44.594,NaN,0.65574999999999761,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-16T14:30:00Z,1993-2-16,43.469,NaN,-0.78125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-17T14:30:00Z,1993-2-17,43.438,NaN,-0.90625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-18T14:30:00Z,1993-2-18,43.406,NaN,-1.40625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-19T14:30:00Z,1993-2-19,43.562,NaN,-1.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-22T14:30:00Z,1993-2-22,43.719,NaN,-1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-23T14:30:00Z,1993-2-23,43.688,NaN,-1.28125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-24T14:30:00Z,1993-2-24,44.250,NaN,-0.40625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-25T14:30:00Z,1993-2-25,44.344,NaN,-0.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-02-26T14:30:00Z,1993-2-26,44.406,44.273462500000001,-0.53125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-01T14:30:00Z,1993-3-01,44.281,44.290624999999999,-0.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-02T14:30:00Z,1993-3-02,44.938,44.325000000000003,1.46875,59.872580007901995,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-03T14:30:00Z,1993-3-03,45.125,44.364062500000003,1.6875,61.374818758764931,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-04T14:30:00Z,1993-3-04,44.875,44.3671875,1.46875,58.318276267052106,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-05T14:30:00Z,1993-3-05,44.750,44.354687499999997,1.1875,56.832357092351742,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-08T14:30:00Z,1993-3-08,45.750,44.393749999999997,2.03125,64.44261836634702,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-09T14:30:00Z,1993-3-09,45.594,44.424999999999997,1.90625,62.631108697265311,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-10T14:30:00Z,1993-3-10,45.688,44.476562499999993,1.4375,63.28137969134854,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-11T14:30:00Z,1993-3-11,45.562,44.518749999999997,1.21875,61.776385920431586,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-12T14:30:00Z,1993-3-12,45.094,44.526562499999997,0.6875,56.486748475349124,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-15T14:30:00Z,1993-3-15,45.312,44.562499999999993,1.03125,58.238899061540245,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-16T14:30:00Z,1993-3-16,45.312,44.654687499999994,0.375,58.238899061540245,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-17T14:30:00Z,1993-3-17,45.031,44.734374999999993,-0.09375,55.094201720085863,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-18T14:30:00Z,1993-3-18,45.312,44.829687499999991,0.4375,57.503592341401514,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-19T14:30:00Z,1993-3-19,45.031,44.903124999999989,0.28125,54.436784549728614,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-22T14:30:00Z,1993-3-22,44.781,44.95624999999999,-0.96875,51.855571891300741,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-23T14:30:00Z,1993-3-23,44.875,45.015624999999986,-0.71875,52.73796938454575,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-24T14:30:00Z,1993-3-24,44.875,45.046874999999986,-0.8125,52.737969384545742,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-25T14:30:00Z,1993-3-25,45.156,45.087499999999991,-0.40625,55.439255137462972,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-26T14:30:00Z,1993-3-26,44.906,45.11249999999999,-0.1875,52.631613885131877,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-29T14:30:00Z,1993-3-29,45.094,45.153124999999989,-0.21875,54.448297921948523,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-30T14:30:00Z,1993-3-30,45.219,45.16718749999999,-0.09375,55.639232495765611,NaN,NaN,NaN,NaN,NaN,NaN
1993-03-31T14:30:00Z,1993-3-31,45.188,45.170312499999987,0.15625,55.259984442619484,NaN,NaN,NaN,NaN,NaN,NaN
1993-04-01T14:30:00Z,1993-4-01,45.031,45.178124999999987,-0.28125,53.350822994035454,NaN,NaN,NaN,NaN,NaN,NaN
1993-04-02T14:30:00Z,1993-4-02,44.094,45.145312499999989,-0.9375,43.81433129561357,NaN,NaN,NaN,NaN,NaN,NaN
1993-04-05T13:30:00Z,1993-4-05,44.312,45.073437499999997,-0.46875,46.171683081637518,NaN,NaN,0.34324999999999761,NaN,NaN,NaN
1993-04-06T13:30:00Z,1993-4-06,44.188,45.003124999999997,-0.6875,45.037904448001882,NaN,NaN,0.34324999999999761,NaN,NaN,NaN
1993-04-07T13:30:00Z,1993-4-07,44.344,44.935937499999994,-0.53125,46.753990033815192,NaN,NaN,0.34324999999999761,NaN,NaN,NaN
1993-04-08T13:30:00Z,1993-4-08,44.281,44.871874999999989,-0.875,46.148808808151344,NaN,NaN,0.34324999999999761,NaN,NaN,NaN
1993-04-12T13:30:00Z,1993-4-12,44.906,44.86249999999999,0,52.592087264289901,NaN,NaN,-0.03125,NaN,NaN,NaN
1993-04-13T13:30:00Z,1993-4-13,45.000,44.84687499999999,-0.09375,53.468956703810058,NaN,NaN,-0.03125,NaN,NaN,NaN
